.python-rundeps	20260616.002554
alpine-baselayout	3.7.2-r1
alpine-baselayout-data	3.7.2-r1
alpine-keys	2.6-r0
alpine-release	3.24.1-r0
apk-tools	3.0.6-r0
busybox	1.37.0-r31
busybox-binsh	1.37.0-r31
ca-certificates	20260611-r0
ca-certificates-bundle	20260611-r0
gdbm	1.26-r0
libapk	3.0.6-r0
libbz2	1.0.8-r6
libcrypto3	3.5.7-r0
libffi	3.5.2-r1
libncursesw	6.6_p20260516-r0
libpanelw	6.6_p20260516-r0
libssl3	3.5.7-r0
libuuid	2.42-r0
musl	1.2.6-r2
musl-utils	1.2.6-r2
ncurses-terminfo-base	6.6_p20260516-r0
readline	8.3.3-r1
scanelf	1.3.9-r1
sqlite-libs	3.53.2-r0
ssl_client	1.37.0-r31
tzdata	2026b-r0
xz-libs	5.8.3-r0
zlib	1.3.2-r0
